wl,n
3.7463,1.54600
3.7572,1.54576
3.7681,1.54544
3.7791,1.54517
3.7901,1.54510
3.8013,1.54491
3.8124,1.54469
3.8237,1.54449
3.8350,1.54437
3.8464,1.54427
3.8578,1.54402
3.8693,1.54351
3.8809,1.54313
3.8926,1.54313
3.9043,1.54333
3.9161,1.54344
3.9280,1.54334
3.9399,1.54303
3.9519,1.54274
3.9640,1.54253
3.9762,1.54215
3.9884,1.54146
4.0007,1.54090
4.0131,1.54090
4.0255,1.54113
4.0381,1.54105
4.0507,1.54081
4.0634,1.54075
4.0762,1.54073
4.0890,1.54042
4.1020,1.53993
4.1150,1.53976
4.1281,1.53990
4.1413,1.54004
4.1546,1.54002
4.1679,1.53980
4.1814,1.53945
4.1949,1.53926
4.2085,1.53925
4.2222,1.53812
4.2360,1.53604
4.2499,1.53611
4.2639,1.53632
4.2780,1.53676
4.2921,1.53739
4.3064,1.53722
4.3208,1.53646
4.3352,1.53540
4.3498,1.53505
4.3644,1.53514
4.3791,1.53498
4.3940,1.53439
4.4089,1.53384
4.4240,1.53360
4.4391,1.53363
4.4544,1.53386
4.4697,1.53417
4.4852,1.53458
4.5008,1.53469
4.5165,1.53451
4.5323,1.53419
4.5482,1.53375
4.5642,1.53359
4.5803,1.53346
4.5965,1.53301
4.6129,1.53252
4.6294,1.53219
4.6460,1.53190
4.6627,1.53148
4.6795,1.53073
4.6965,1.52987
4.7136,1.52941
4.7308,1.52921
4.7481,1.52899
4.7655,1.52858
4.7831,1.52785
4.8008,1.52748
4.8187,1.52744
4.8367,1.52684
4.8548,1.52590
4.8730,1.52542
4.8914,1.52535
4.9100,1.52508
4.9286,1.52436
4.9474,1.52336
4.9664,1.52228
4.9855,1.52153
5.0047,1.52128
5.0241,1.52094
5.0437,1.52023
5.0634,1.51923
5.0832,1.51804
5.1033,1.51688
5.1234,1.51571
5.1438,1.51449
5.1643,1.51331
5.1849,1.51211
5.2057,1.51023
5.2267,1.50791
5.2479,1.50676
5.2692,1.50661
5.2907,1.50604
5.3124,1.50428
5.3343,1.50175
5.3563,1.49864
5.3785,1.49523
5.4009,1.49143
5.4235,1.48695
5.4463,1.48143
5.4693,1.47381
5.4925,1.46310
5.5159,1.44822
5.5394,1.42542
5.5632,1.39559
5.5872,1.38641
5.6114,1.43886
5.6358,1.55253
5.6604,1.64984
5.6852,1.65671
5.7103,1.62001
5.7355,1.59361
5.7610,1.57932
5.7867,1.56988
5.8127,1.56284
5.8389,1.55668
5.8653,1.55202
5.8919,1.54654
5.9188,1.54116
5.9460,1.53707
5.9734,1.53352
6.0011,1.53036
6.0290,1.52818
6.0571,1.52586
6.0856,1.52306
6.1143,1.51992
6.1433,1.51597
6.1725,1.51122
6.2020,1.50727
6.2319,1.50741
6.2620,1.51052
6.2924,1.51217
6.3231,1.51002
6.3541,1.50453
6.3854,1.49869
6.4170,1.49190
6.4489,1.48518
6.4811,1.47732
6.5137,1.46401
6.5466,1.44623
6.5798,1.41632
6.6134,1.42190
6.6473,1.51409
6.6816,1.58018
6.7162,1.57075
6.7512,1.54620
6.7865,1.52982
6.8223,1.52278
6.8583,1.51919
6.8948,1.51335
6.9317,1.50743
6.9690,1.49913
7.0066,1.48836
7.0447,1.47863
7.0832,1.47886
7.1221,1.48381
7.1615,1.47865
7.2013,1.47134
7.2415,1.46607
7.2822,1.45713
7.3233,1.45653
7.3649,1.45802
7.4070,1.44650
7.4496,1.43058
7.4926,1.41560
7.5362,1.39864
7.5803,1.37808
7.6249,1.35734
7.6700,1.33697
7.7156,1.31919
7.7618,1.30380
7.8086,1.27126
7.8559,1.19662
7.9038,1.09140
7.9523,1.06932
8.0014,1.16184
8.0511,1.31297
8.1014,1.47786
8.1524,1.64921
8.2040,1.75398
8.2562,1.67884
8.3091,1.58296
8.3628,1.72185
8.4171,1.92563
8.4721,1.87624
8.5278,1.74904
8.5843,1.83275
8.6415,1.96170
8.6995,1.92257
8.7583,1.83773
8.8179,1.78867
8.8783,1.74977
8.9395,1.72051
9.0016,1.70337
9.0645,1.69749
9.1284,1.67962
9.1931,1.66594
9.2588,1.69423
9.3254,1.71231
9.3930,1.68926
9.4615,1.66696
9.5311,1.65217
9.6017,1.63781
9.6733,1.61362
9.7461,1.58011
9.8199,1.61262
9.8949,1.69795
9.9710,1.72370
10.048,1.70117
10.127,1.68219
10.207,1.66788
10.288,1.65644
10.370,1.64674
10.453,1.63964
10.538,1.63461
10.625,1.63018
10.713,1.62535
10.802,1.61980
10.893,1.61395
10.985,1.60633
11.079,1.59465
11.174,1.59001
11.272,1.60440
11.370,1.61600
11.471,1.60593
11.573,1.58526
11.678,1.56501
11.784,1.55381
11.892,1.56202
12.002,1.60072
12.114,1.64754
12.229,1.67053
12.345,1.67386
12.464,1.66246
12.585,1.64019
12.708,1.62133
12.834,1.61301
12.962,1.62315
13.093,1.64084
13.227,1.64859
13.363,1.64508
13.502,1.63761
13.645,1.63163
13.790,1.62795
13.938,1.62315
14.089,1.62323
14.244,1.62940
14.403,1.63049
14.564,1.62568
14.730,1.62136
14.899,1.61894
15.072,1.61434
15.250,1.60983
15.431,1.60548
15.617,1.60226
15.808,1.60073
16.003,1.59779
16.203,1.59260
16.408,1.58978
16.618,1.58838
16.834,1.58188
17.056,1.57366
17.283,1.56456
17.517,1.55503
17.757,1.57230
18.003,1.62441
18.257,1.66031
18.518,1.65840
18.786,1.64707
19.062,1.64080
19.347,1.63500
19.640,1.62695
19.942,1.62390

wl,k
0.40,1.12E-05
0.41,2.28E-06
0.42,6.31E-07
0.43,3.55E-07
0.44,2.88E-07
0.45,2.63E-07
0.46,2.43E-07
0.47,2.39E-07
0.48,2.49E-07
0.49,2.64E-07
0.50,2.95E-07
0.51,2.97E-07
0.52,3.16E-07
0.53,3.39E-07
0.54,3.85E-07
0.55,4.08E-07
0.56,4.27E-07
0.57,4.45E-07
0.58,4.81E-07
0.59,4.80E-07
0.60,4.80E-07
0.61,4.37E-07
0.62,3.95E-07
0.63,3.48E-07
0.64,3.03E-07
0.65,2.36E-07
0.66,1.76E-07
0.67,1.26E-07
0.68,9.54E-08
0.69,7.08E-08
0.70,5.22E-08
0.71,6.91E-08
0.72,3.53E-08
0.73,2.76E-08
0.74,4.45E-08
0.75,3.44E-08
0.76,3.53E-08
0.77,1.20E-08
0.78,5.95E-09
0.79,1.97E-09
0.80,6.27E-09
0.81,1.17E-08
0.82,6.81E-08
0.83,2.71E-07
0.84,2.73E-08
0.85,1.06E-07
0.86,1.35E-07
0.87,3.83E-07
0.88,4.08E-07
0.89,4.16E-07
0.90,4.58E-07
0.91,5.42E-07
0.92,5.37E-07
0.93,3.94E-07
0.94,4.59E-07
0.95,4.84E-07
0.96,4.63E-07
0.97,5.09E-07
0.98,5.03E-07
0.99,4.39E-07
1.00,4.66E-07
1.01,5.75E-07
1.02,2.95E-07
1.03,3.41E-07
1.04,3.52E-07
1.05,4.08E-07
1.06,3.18E-07
1.07,3.71E-07
1.08,3.26E-07
1.09,4.19E-07
1.10,5.78E-07
1.11,1.09E-06
1.12,2.25E-06
1.13,5.67E-06
1.14,6.18E-06
1.15,3.62E-06
1.16,2.37E-06
1.17,2.88E-06
1.18,3.90E-06
1.19,5.08E-06
1.20,1.79E-06
1.21,1.08E-06
1.22,8.53E-07
1.23,6.91E-07
1.24,6.39E-07
1.25,5.78E-07
1.26,4.47E-07
1.27,4.41E-07
1.28,5.21E-07
1.29,6.74E-07
1.30,6.77E-07
1.31,9.02E-07
1.32,1.09E-06
1.33,1.26E-06
1.34,1.56E-06
1.35,2.61E-06
1.36,4.39E-06
1.37,5.02E-06
1.38,6.25E-06
1.39,6.31E-06
1.40,6.30E-06
1.41,6.36E-06
1.42,4.92E-06
1.43,5.01E-06
1.44,4.34E-06
1.45,4.10E-06
1.46,3.99E-06
1.47,3.81E-06
1.48,1.77E-06
1.49,2.98E-06
1.50,2.35E-06
1.51,2.00E-06
1.52,1.81E-06
1.53,1.62E-06
1.54,1.64E-06
1.55,1.75E-06
1.56,1.77E-06
1.57,1.88E-06
1.58,2.34E-06
1.59,2.89E-06
1.60,4.09E-06
1.61,5.99E-06
1.62,1.10E-05
1.63,1.56E-05
1.64,2.53E-05
1.65,4.53E-05
1.66,8.08E-05
1.67,1.15E-04
1.68,6.85E-05
1.69,7.27E-05
1.70,5.86E-05
1.71,3.32E-05
1.72,3.15E-05
1.73,3.53E-05
1.74,3.29E-05
1.75,1.96E-05
1.76,2.00E-05
1.77,2.18E-05
1.78,1.44E-05
1.79,1.37E-05
1.80,1.46E-05
1.81,1.49E-05
1.82,1.54E-05
1.83,1.66E-05
1.84,1.47E-05
1.85,1.50E-05
1.86,1.44E-05
1.87,1.57E-05
1.88,1.60E-05
1.89,2.11E-05
1.90,3.58E-05
1.91,2.26E-05
1.92,1.57E-05
1.93,1.55E-05
1.94,1.49E-05
1.95,1.35E-05
1.96,1.33E-05
1.97,1.39E-05
1.98,1.36E-05
1.99,1.41E-05
2.00,1.53E-05
2.0097,1.85E-05
2.0190,1.97E-05
2.0285,2.17E-05
2.0381,2.51E-05
2.0478,2.89E-05
2.0575,3.22E-05
2.0673,3.39E-05
2.0773,3.39E-05
2.0873,3.54E-05
2.0975,4.15E-05
2.1077,5.46E-05
2.1180,7.91E-05
2.1285,1.17E-04
2.1390,1.52E-04
2.1496,1.57E-04
2.1568,1.42E-04
2.1676,1.15E-04
2.1785,1.02E-04
2.1896,9.07E-05
2.1970,8.06E-05
2.2082,7.28E-05
2.2196,7.74E-05
2.2272,8.61E-05
2.2387,1.03E-04
2.2465,1.16E-04
2.2582,1.46E-04
2.2661,2.79E-03
2.2781,3.50E-03
2.2861,3.23E-03
2.2983,2.84E-03
2.3065,2.16E-03
2.3188,1.37E-03
2.3272,1.51E-03
2.3398,1.66E-03
2.3482,1.86E-03
2.3568,2.29E-03
2.3697,2.53E-03
2.3784,2.39E-03
2.3872,2.34E-03
2.3960,2.24E-03
2.4093,1.29E-03
2.4183,8.38E-04
2.4274,1.26E-03
2.4365,1.61E-03
2.4457,1.84E-03
2.4596,2.01E-03
2.4690,1.91E-03
2.4784,1.65E-03
2.4880,1.36E-03
2.4975,1.62E-03
2.5072,1.75E-03
2.5169,1.76E-03
2.5268,1.84E-03
2.5366,1.71E-03
2.5466,1.69E-03
2.5567,1.89E-03
2.5668,1.93E-03
2.5770,2.33E-03
2.5873,2.40E-03
2.5976,1.67E-04
2.6081,1.57E-04
2.6186,1.53E-04
2.6293,1.47E-04
2.6400,1.38E-04
2.6454,1.37E-04
2.6562,1.43E-04
2.6671,1.59E-04
2.6782,1.68E-04
2.6893,1.75E-04
2.6949,2.39E-03
