wl,n
3.7463,1.52757
3.7572,1.52758
3.7681,1.52712
3.7791,1.52656
3.7901,1.52634
3.8013,1.52652
3.8124,1.52659
3.8237,1.52640
3.8350,1.52605
3.8464,1.52548
3.8578,1.52511
3.8693,1.52528
3.8809,1.52536
3.8926,1.52511
3.9043,1.52494
3.9161,1.52483
3.9280,1.52432
3.9399,1.52362
3.9519,1.52367
3.9640,1.52409
3.9762,1.52413
3.9884,1.52384
4.0007,1.52371
4.0131,1.52352
4.0255,1.52329
4.0381,1.52295
4.0507,1.52269
4.0634,1.52238
4.0762,1.52196
4.0890,1.52166
4.1020,1.52153
4.1150,1.52134
4.1281,1.52099
4.1413,1.52039
4.1546,1.52017
4.1679,1.52022
4.1814,1.52023
4.1949,1.52012
4.2085,1.52016
4.2222,1.52079
4.2360,1.52151
4.2499,1.52054
4.2639,1.51962
4.2780,1.51872
4.2921,1.51758
4.3064,1.51772
4.3208,1.51764
4.3352,1.51758
4.3498,1.51763
4.3644,1.51732
4.3791,1.51693
4.3940,1.51673
4.4089,1.51627
4.4240,1.51561
4.4391,1.51530
4.4544,1.51524
4.4697,1.51513
4.4852,1.51475
4.5008,1.51422
4.5165,1.51373
4.5323,1.51333
4.5482,1.51285
4.5642,1.51232
4.5803,1.51171
4.5965,1.51120
4.6129,1.51071
4.6294,1.51029
4.6460,1.50998
4.6627,1.50967
4.6795,1.50905
4.6965,1.50859
4.7136,1.50843
4.7308,1.50797
4.7481,1.50752
4.7655,1.50711
4.7831,1.50637
4.8008,1.50567
4.8187,1.50559
4.8367,1.50562
4.8548,1.50488
4.8730,1.50377
4.8914,1.50272
4.9100,1.50168
4.9286,1.50075
4.9474,1.49966
4.9664,1.49883
4.9855,1.49798
5.0047,1.49710
5.0241,1.49666
5.0437,1.49565
5.0634,1.49399
5.0832,1.49276
5.1033,1.49199
5.1234,1.49154
5.1438,1.49104
5.1643,1.49026
5.1849,1.48920
5.2057,1.48773
5.2267,1.48603
5.2479,1.48428
5.2692,1.48241
5.2907,1.48041
5.3124,1.47834
5.3343,1.47578
5.3563,1.47264
5.3785,1.46936
5.4009,1.46589
5.4235,1.46220
5.4463,1.45881
