wl,n
3.7463,1.52612
3.7572,1.52562
3.7681,1.52570
3.7791,1.52587
3.7901,1.52570
3.8013,1.52541
3.8124,1.52545
3.8237,1.52571
3.8350,1.52586
3.8464,1.52587
3.8578,1.52580
3.8693,1.52584
3.8809,1.52598
3.8926,1.52595
3.9043,1.52572
3.9161,1.52552
3.9280,1.52553
3.9399,1.52570
3.9519,1.52582
3.9640,1.52565
3.9762,1.52552
3.9884,1.52552
4.0007,1.52558
4.0131,1.52561
4.0255,1.52546
4.0381,1.52517
4.0507,1.52497
4.0634,1.52512
4.0762,1.52515
4.0890,1.52499
4.1020,1.52471
4.1150,1.52450
4.1281,1.52458
4.1413,1.52456
4.1546,1.52455
4.1679,1.52466
4.1814,1.52462
4.1949,1.52454
4.2085,1.52419
4.2222,1.52343
4.2360,1.52299
4.2499,1.52331
4.2639,1.52330
4.2780,1.52354
4.2921,1.52381
4.3064,1.52401
4.3208,1.52436
4.3352,1.52448
4.3498,1.52418
4.3644,1.52407
4.3791,1.52397
4.3940,1.52389
4.4089,1.52371
4.4240,1.52348
4.4391,1.52372
4.4544,1.52451
4.4697,1.52497
4.4852,1.52460
4.5008,1.52395
4.5165,1.52381
4.5323,1.52405
4.5482,1.52396
4.5642,1.52360
4.5803,1.52341
4.5965,1.52350
4.6129,1.52354
4.6294,1.52335
4.6460,1.52333
4.6627,1.52372
4.6795,1.52369
4.6965,1.52329
4.7136,1.52312
4.7308,1.52322
4.7481,1.52303
4.7655,1.52307
4.7831,1.52323
4.8008,1.52294
4.8187,1.52241
4.8367,1.52215
4.8548,1.52245
4.8730,1.52257
4.8914,1.52220
4.9100,1.52205
4.9286,1.52211
4.9474,1.52195
4.9664,1.52208
4.9855,1.52227
5.0047,1.52213
5.0241,1.52188
5.0437,1.52198
5.0634,1.52213
5.0832,1.52172
5.1033,1.52130
5.1234,1.52151
5.1438,1.52158
5.1643,1.52142
5.1849,1.52103
5.2057,1.52049
5.2267,1.52020
5.2479,1.52033
5.2692,1.52063
5.2907,1.52062
5.3124,1.52061
5.3343,1.52037
5.3563,1.51992
5.3785,1.52000
5.4009,1.52017
5.4235,1.51986
5.4463,1.51964
5.4693,1.51964
5.4925,1.51957
5.5159,1.51931
5.5394,1.51865
5.5632,1.51785
5.5872,1.51720
5.6114,1.51683
5.6358,1.51666
5.6604,1.51618
5.6852,1.51511
5.7103,1.51353
5.7355,1.51283
5.7610,1.51485
5.7867,1.51937
5.8127,1.52339
5.8389,1.52527
5.8653,1.52478
5.8919,1.52291
5.9188,1.52190
5.9460,1.52134
5.9734,1.52065
6.0011,1.52035
6.0290,1.52012
6.0571,1.51991
6.0856,1.51925
6.1143,1.51852
6.1433,1.51801
6.1725,1.51792
6.2020,1.51755
6.2319,1.51705
6.2620,1.51657
6.2924,1.51611
6.3231,1.51595
6.3541,1.51635
6.3854,1.51628
6.4170,1.51546
6.4489,1.51505
6.4811,1.51471
6.5137,1.51367
6.5466,1.51289
6.5798,1.51202
6.6134,1.51064
6.6473,1.50856
6.6816,1.50680
6.7162,1.50649
6.7512,1.50551
6.7865,1.50318
6.8223,1.50149
6.8583,1.49962
6.8948,1.49417
6.9317,1.49086
6.9690,1.49932
7.0066,1.51617
7.0447,1.52722
7.0832,1.52698
7.1221,1.52040
7.1615,1.51417
7.2013,1.51013
7.2415,1.50858
7.2822,1.50743
7.3233,1.50512
7.3649,1.50345
7.4070,1.50151
7.4496,1.49890
7.4926,1.50218
7.5362,1.51083
7.5803,1.51611
7.6249,1.51597
7.6700,1.51363
7.7156,1.51151
7.7618,1.50856
7.8086,1.50321
7.8559,1.49895
7.9038,1.50077
7.9523,1.51268
8.0014,1.52877
8.0511,1.54059
8.1014,1.54825
8.1524,1.55173
8.2040,1.54670
8.2562,1.53853
8.3091,1.53619
8.3628,1.53908
8.4171,1.54086
8.4721,1.53965
8.5278,1.53776
8.5843,1.53557
8.6415,1.53256
8.6995,1.52975
8.7583,1.52688
8.8179,1.52414
8.8783,1.52265
8.9395,1.52211
9.0016,1.52218
9.0645,1.52387
9.1284,1.52793
9.1931,1.53066
9.2588,1.53138
9.3254,1.53201
9.3930,1.53196
9.4615,1.53125
9.5311,1.52972
9.6017,1.52766
9.6733,1.52643
9.7461,1.52428
9.8199,1.52163
9.8949,1.51946
9.9710,1.51865
10.048,1.51730
10.127,1.51505
10.207,1.51457
10.288,1.51955
